Experiment	Comparison	RNA.Class	Sign.inClass	NS.inClass	Sign.notClass	NS.notClass	P.Value
MLE_IP_4MSL_ATP_S2_RNA	LowMLE+DCC-LowMLE	snoRNA_CD	2	56	314	8854	1e+00
MLE_IP_4MSL_ATP_S2_RNA	LowMLE+DCC-LowMLE	snoRNA_HACA	31	70	285	8840	9.7e-22
MLE_IP_FLAG_IP_RNA	FLAGIP-Input	editedRNAs	316	448	2446	5550	2.3e-09
MLE_IP_FLAG_IP_RNA	FLAGIP-Input	long3UTR	294	182	2468	5816	2.9e-44
MLE_IP_FLAG_IP_RNA	FLAGIP-Input	mito	14	4	2748	5994	7.2e-05
MLE_IP_FLAG_IP_RNA	FLAGIP-Input	ribo	80	4	2682	5994	1.6e-35
MLE_IP_FLAG_IP_RNA	FLAGIP-Input	short3UTR	68	183	2694	5815	1.3e-01
MLE_IP_FLAG_IP_RNA	FLAGIP-Input	snoRNA_CD	2	28	2760	5970	2.4e-03
MLE_IP_FLAG_IP_RNA	FLAGIP-Input	snoRNA_HACA	51	47	2711	5951	2.5e-05
MLE_IP_FLAG_IP_RNA	FLAGIP-MLEIP	editedRNAs	2	762	10	7986	2.8e-01
MLE_IP_FLAG_IP_RNA	FLAGIP-MLEIP	long3UTR	2	474	10	8274	1.4e-01
MLE_IP_FLAG_IP_RNA	FLAGIP-MLEIP	mito	2	16	10	8732	2.6e-04
MLE_IP_FLAG_IP_RNA	FLAGIP-MLEIP	ribo	2	82	10	8666	5.6e-03
MLE_IP_FLAG_IP_RNA	FLAGIP-MLEIP	short3UTR	0	251	12	8497	1e+00
MLE_IP_FLAG_IP_RNA	FLAGIP-MLEIP	snoRNA_CD	0	30	12	8718	1e+00
MLE_IP_FLAG_IP_RNA	FLAGIP-MLEIP	snoRNA_HACA	1	97	11	8651	1.3e-01
MLE_IP_FLAG_IP_RNA	MLEIP-Input	editedRNAs	263	501	1892	6104	2e-10
MLE_IP_FLAG_IP_RNA	MLEIP-Input	long3UTR	235	241	1920	6364	2.5e-33
MLE_IP_FLAG_IP_RNA	MLEIP-Input	mito	18	0	2137	6605	1e-11
MLE_IP_FLAG_IP_RNA	MLEIP-Input	ribo	73	11	2082	6594	1.3e-33
MLE_IP_FLAG_IP_RNA	MLEIP-Input	short3UTR	31	220	2124	6385	1.6e-06
MLE_IP_FLAG_IP_RNA	MLEIP-Input	snoRNA_CD	5	25	2150	6580	4e-01
MLE_IP_FLAG_IP_RNA	MLEIP-Input	snoRNA_HACA	51	47	2104	6558	4.4e-09
MLE_titration_ATP_S2_RNA	HighMLE-ATP-LowMLE-ATP	editedRNAs	139	607	523	7163	6.4e-24
MLE_titration_ATP_S2_RNA	HighMLE-ATP-LowMLE-ATP	long3UTR	164	304	498	7466	6.2e-69
MLE_titration_ATP_S2_RNA	HighMLE-ATP-LowMLE-ATP	mito	7	11	655	7759	2.6e-04
MLE_titration_ATP_S2_RNA	HighMLE-ATP-LowMLE-ATP	ribo	28	56	634	7714	1.5e-11
MLE_titration_ATP_S2_RNA	HighMLE-ATP-LowMLE-ATP	short3UTR	6	235	656	7535	5.9e-04
MLE_titration_ATP_S2_RNA	HighMLE-ATP-LowMLE-ATP	snoRNA_CD	1	27	661	7743	7.2e-01
MLE_titration_ATP_S2_RNA	HighMLE-ATP-LowMLE-ATP	snoRNA_HACA	1	95	661	7675	6.5e-03
MLE_titration_ATP_S2_RNA	HighMLE+ATP-HighMLE-ATP	editedRNAs	296	450	2098	5588	4.3e-12
MLE_titration_ATP_S2_RNA	HighMLE+ATP-HighMLE-ATP	long3UTR	250	218	2144	5820	1.2e-31
MLE_titration_ATP_S2_RNA	HighMLE+ATP-HighMLE-ATP	mito	14	4	2380	6034	1.9e-05
MLE_titration_ATP_S2_RNA	HighMLE+ATP-HighMLE-ATP	ribo	41	43	2353	5995	7.7e-05
MLE_titration_ATP_S2_RNA	HighMLE+ATP-HighMLE-ATP	short3UTR	42	199	2352	5839	8.3e-05
MLE_titration_ATP_S2_RNA	HighMLE+ATP-HighMLE-ATP	snoRNA_CD	6	22	2388	6016	5.3e-01
MLE_titration_ATP_S2_RNA	HighMLE+ATP-HighMLE-ATP	snoRNA_HACA	72	24	2322	6014	2.4e-21
MLE_titration_ATP_S2_RNA	HighMLE+ATP-Input	editedRNAs	460	286	3828	3858	5.8e-10
MLE_titration_ATP_S2_RNA	HighMLE+ATP-Input	long3UTR	343	125	3945	4019	3.1e-24
MLE_titration_ATP_S2_RNA	HighMLE+ATP-Input	mito	18	0	4270	4144	7.8e-06
MLE_titration_ATP_S2_RNA	HighMLE+ATP-Input	ribo	80	4	4208	4140	2.9e-19
MLE_titration_ATP_S2_RNA	HighMLE+ATP-Input	short3UTR	102	139	4186	4005	7.3e-03
MLE_titration_ATP_S2_RNA	HighMLE+ATP-Input	snoRNA_CD	6	22	4282	4122	2e-03
MLE_titration_ATP_S2_RNA	HighMLE+ATP-Input	snoRNA_HACA	54	42	4234	4102	3.1e-01
MLE_titration_ATP_S2_RNA	HighMLE+ATP-LowMLE+ATP	editedRNAs	129	617	781	6905	2.1e-08
MLE_titration_ATP_S2_RNA	HighMLE+ATP-LowMLE+ATP	long3UTR	67	401	843	7121	1.4e-02
MLE_titration_ATP_S2_RNA	HighMLE+ATP-LowMLE+ATP	mito	11	7	899	7515	3.4e-07
MLE_titration_ATP_S2_RNA	HighMLE+ATP-LowMLE+ATP	ribo	28	56	882	7466	2.3e-08
MLE_titration_ATP_S2_RNA	HighMLE+ATP-LowMLE+ATP	short3UTR	8	233	902	7289	3.1e-05
MLE_titration_ATP_S2_RNA	HighMLE+ATP-LowMLE+ATP	snoRNA_CD	0	28	910	7494	6.7e-02
MLE_titration_ATP_S2_RNA	HighMLE+ATP-LowMLE+ATP	snoRNA_HACA	23	73	887	7449	1.8e-04
MLE_titration_ATP_S2_RNA	LowMLE+ATP-Input	editedRNAs	445	301	3632	4054	9.9e-11
MLE_titration_ATP_S2_RNA	LowMLE+ATP-Input	long3UTR	371	97	3706	4258	2.7e-45
MLE_titration_ATP_S2_RNA	LowMLE+ATP-Input	mito	16	2	4061	4353	5.2e-04
MLE_titration_ATP_S2_RNA	LowMLE+ATP-Input	ribo	80	4	3997	4351	7.4e-21
MLE_titration_ATP_S2_RNA	LowMLE+ATP-Input	short3UTR	103	138	3974	4217	7.8e-02
MLE_titration_ATP_S2_RNA	LowMLE+ATP-Input	snoRNA_CD	6	22	4071	4333	4.2e-03
MLE_titration_ATP_S2_RNA	LowMLE+ATP-Input	snoRNA_HACA	63	33	4014	4322	6.6e-04
MLE_titration_ATP_S2_RNA	LowMLE+ATP-LowMLE-ATP	editedRNAs	48	698	436	7250	4.1e-01
MLE_titration_ATP_S2_RNA	LowMLE+ATP-LowMLE-ATP	long3UTR	26	442	458	7506	1e+00
MLE_titration_ATP_S2_RNA	LowMLE+ATP-LowMLE-ATP	mito	3	15	481	7933	8.1e-02
MLE_titration_ATP_S2_RNA	LowMLE+ATP-LowMLE-ATP	ribo	16	68	468	7880	1.8e-05
MLE_titration_ATP_S2_RNA	LowMLE+ATP-LowMLE-ATP	short3UTR	9	232	475	7716	2.1e-01
MLE_titration_ATP_S2_RNA	LowMLE+ATP-LowMLE-ATP	snoRNA_CD	2	26	482	7922	6.7e-01
MLE_titration_ATP_S2_RNA	LowMLE+ATP-LowMLE-ATP	snoRNA_HACA	32	64	452	7884	6.9e-17
MLE_titration_ATP_S2_RNA	MedMLE+ATP-Input	editedRNAs	430	316	3359	4327	3.4e-13
MLE_titration_ATP_S2_RNA	MedMLE+ATP-Input	long3UTR	346	122	3443	4521	4.3e-39
MLE_titration_ATP_S2_RNA	MedMLE+ATP-Input	mito	18	0	3771	4643	5.5e-07
MLE_titration_ATP_S2_RNA	MedMLE+ATP-Input	ribo	82	2	3707	4641	2.2e-26
MLE_titration_ATP_S2_RNA	MedMLE+ATP-Input	short3UTR	82	159	3707	4484	6.1e-04
MLE_titration_ATP_S2_RNA	MedMLE+ATP-Input	snoRNA_CD	5	23	3784	4620	3.8e-03
MLE_titration_ATP_S2_RNA	MedMLE+ATP-Input	snoRNA_HACA	54	42	3735	4601	3e-02
